张红	20230001	黑龙江	2000	20230001	D1
洪杏姝	20230002	江苏	2100	20230002	D2
吴勤晔	20230003	湖南	2200	20230003	D3
詹韦豪	20230004	甘肃	2300	20230004	D4
侯杉	20230005	浙江	2400	20230005	D5
陆喻琴	20230006	山东	2500	20230001	D1
秋婵慈	20230007	北京	2600	20230002	D2
宣宾舸	20230008	上海	2700	20230003	D3
邬钥琦	20230009	海南	2800	20230004	D4
崔冕斐	20230010	广东	2900	20230005	D5
殷一	20230011	黑龙江	3000	20230001	D1
强刚恒	20230012	江苏	3100	20230002	D2
常岚茹	20230013	湖南	3200	20230003	D3
叶涛岩	20230014	甘肃	3300	20230004	D4
施碧子	20230015	浙江	3400	20230005	D5
任朝田	20230016	山东	3500	20230001	D1
贡霄	20230017	北京	3600	20230002	D2
明垣钧	20230018	上海	3700	20230003	D3
丁烽运	20230019	海南	3800	20230004	D4
成冶洵	20230020	广东	3900	20230005	D5
毕研京	20230021	黑龙江	4000	20230001	D1
戚炼	20230022	江苏	4100	20230002	D2
宗一彭	20230023	湖南	4200	20230003	D3
鲁轲麒	20230024	甘肃	4300	20230004	D4
伏容妹	20230025	浙江	4400	20230005	D5
岑菊李	20230026	山东	4500	20230001	D1
司艺迎	20230027	北京	4600	20230002	D2
伍兴	20230028	上海	4700	20230003	D3
段敏梓	20230029	海南	4800	20230004	D4
邢栩弘	20230030	广东	4900	20230005	D5
平娓冶	20230031	黑龙江	5000	20230001	D1
苗欢宝	20230032	江苏	5100	20230002	D2
谢珣翠	20230033	湖南	5200	20230003	D3
邬声	20230034	甘肃	5300	20230004	D4
乌宜宸	20230035	浙江	5400	20230005	D5
瞿弋严	20230036	山东	5500	20230001	D1
宁诚婕	20230037	北京	5600	20230002	D2
郜沙盈	20230038	上海	5700	20230003	D3
水凯宝	20230039	海南	5800	20230004	D4
邬青黎	20230040	广东	5900	20230005	D5
焦江	20230041	黑龙江	6000	20230001	D1
董春妃	20230042	江苏	6100	20230002	D2
韦翌桥	20230043	湖南	6200	20230003	D3
裘彭旺	20230044	甘肃	6300	20230004	D4
史毓秀	20230045	浙江	6400	20230005	D5
柳含	20230046	山东	6500	20230001	D1
邬研艾	20230047	北京	6600	20230002	D2
祖晟霖	20230048	上海	6700	20230003	D3
郦昭和	20230049	海南	6800	20230004	D4
杭洵思	20230050	广东	6900	20230005	D5
