1901	赵一	301	1903001	1101
1902	钱二	302	1903001	1101
1903	孙三	303	1903001	1101
1904	李五	304	1903001	1102
1905	周六	305	1903001	1102
1906	吴七	306	1903002	1103
1907	郑八	301	1903002	1103
1908	王八	302	1903002	1103
1909	冯九	303	1903002	1103
1910	严十	304	1903002	4101
1911	陈一	305	1903003	4101
1912	褚二	306	1903003	4102
1913	卫三	301	1903003	4101
1914	蒋四	302	1903003	4102
1915	沈五	303	1903003	2101
1916	韩六	304	1903004	2101
1917	杨七	305	1903004	2101
1918	朱八	306	1903004	3102
1919	尤九	301	1903004	3102
1920	许十	302	1903004	3102
